id,question,correct_answer,incorrect_answers,explanation,as_first
10340,What causes airplane contrails (vapor trails) to appear?,Hot exhaust condensing in cold air creates ice crystals,"[""Fuel additives create visible exhaust"",""Wingtip vortices compress moisture"",""Chemical emissions from engines""]","Jet exhaust (mostly water vapor) hits -40°C air, instantly freezing into ice crystals—creating white trails. They're literally ice clouds! Contrails can last hours or disappear quickly depending on humidity.",0
10343,Why have some ancient Roman harbor walls survived pounding seawater for thousands of years better than many modern concrete piers?,Roman concrete's volcanic ash reacts with seawater to form new strengthening crystals,"[""Romans used pure gold rebar that never rusts"",""They baked the concrete in kilns before placing it in the sea"",""The harbors sit in unusually calm, low-salt water""]","Roman marine concrete mixed volcanic ash, lime, and seawater, which slowly grows interlocking mineral crystals. The chemistry makes the material tougher over time, turning old ruins into a materials-science lesson.",1
10347,"What causes a rare 'limnic eruption' in lakes like Lake Nyos, which can suffocate surrounding areas?",Sudden release of dissolved carbon dioxide,"[""Underwater volcanic lava"",""Methane from rotting fish"",""Algae bloom toxicity""]","In deep crater lakes, CO2 from magma can accumulate at the bottom under high pressure. If disturbed, the lake 'burps' a massive cloud of heavy gas that displaces oxygen, suffocating living things nearby.",0
10348,Which planet has the most extreme temperature variations in our solar system?,Mercury,"[""Venus"",""Mars"",""Pluto""]",Mercury swings from 430°C (day) to -180°C (night) due to its thin atmosphere and slow rotation.,0
10349,Why can the same perfume smell different on two people?,Skin chemistry changes how the fragrance breaks down,"[""Perfume companies randomize batches"",""The bottle slowly changes scent"",""Air temperature completely rewrites the smell""]","Your skin's oils, microbiome, and temperature interact with perfume molecules. The mixture of original notes plus what your skin adds makes a slightly different scent on each person.",1
10350,What is the most abundant element in the universe?,Hydrogen,"[""Helium"",""Oxygen"",""Carbon""]","Hydrogen comprises about 75% of the universe's elemental mass, largely produced in the early universe after the Big Bang.",0
10351,What causes thunder?,Rapid expansion of superheated air from lightning,"[""Clouds colliding"",""Atmospheric pressure changes"",""Wind friction""]","Lightning heats air to 30,000°C instantly, causing explosive expansion that creates the sonic boom we hear as thunder.",0
10360,What causes tides on Earth?,Gravitational pull from the Moon and Sun,"[""Earth's rotation"",""Ocean currents"",""Wind patterns""]",The Moon's gravity creates tidal bulges on opposite sides of Earth; the Sun also contributes but with less force.,0
10363,What causes Earth's seasons?,Axial tilt of about 23.4 degrees,"[""Distance from the Sun"",""Solar flare activity"",""Orbital speed variations""]",Earth's tilt of about 23.4 degrees causes each hemisphere to receive different sunlight angles through the year; Earth-Sun distance is not the main cause of seasons.,0
10365,What is the largest internal organ in the human body?,Liver,"[""Brain"",""Lungs"",""Heart""]","The liver weighs about 1.5 kg, performing over 500 functions including detoxification and protein synthesis.",0
10382,Which is greater in number: the trees on Earth or the stars in the Milky Way galaxy?,Trees on Earth (they outnumber the stars in the Milky Way),"[""Stars in the Milky Way (they far outnumber Earth's trees)"",""They are roughly equal in number"",""Scientists don't have any estimate for either""]",Satellite and field surveys suggest about three trillion trees on Earth—several times more than the estimated stars in the Milky Way. It flips our intuition that space must be more crowded than our own planet.,1
10386,Why do most people remember very little from their first few years of life?,The brain structures and language skills for long-term autobiographical memories are still developing (infantile amnesia),"[""Early memories are erased whenever we learn to read"",""Infant memories are stored only in the spinal cord, not the brain"",""Human babies do not form any memories before they can walk""]","Early experiences are stored in more fragmentary, nonverbal ways before the hippocampus and language fully mature. As a result, later you can’t easily reconstruct those events as narrative memories, even though they helped shape you.",1
10387,Which fruit belongs to the rose family?,Apple,"[""Banana"",""Orange"",""Grape""]","Apples, along with pears, peaches, and cherries, belong to the Rosaceae family. If you look closely at an apple blossom, the resemblance to a wild rose is clear.",0
10390,What causes lightning to zigzag instead of traveling in a straight line?,It follows the path of least resistance through air,"[""Wind bends the electrical path"",""Magnetic fields deflect it"",""Temperature variations curve it""]","Lightning zigzags because it searches for the path of least resistance through air! Air isn't uniformly conductive—lightning 'steps' toward the ground in 50-meter increments, creating branches. Each zag is the charge finding easier routes. That's why no two lightning bolts look identical!",1
10392,"Why do some pinecones open only after intense heat, often from wildfire?","Heat melts the resin sealing the cone, allowing the seeds to be released","[""Smoke signals the tree to push the seeds out immediately"",""The cones need rain after a fire before they can split open"",""Animals must crack the cones open after a burn""]","In some species, resin keeps the cone sealed shut. Intense heat can melt that resin, releasing seeds when fire has cleared nearby plants and enriched the ground with ash.",0
10395,Why does a wet towel feel colder than a dry one at the same room temperature?,Evaporation pulls heat from your skin,"[""Water creates cold radiation"",""Wet fabric blocks blood flow"",""Moisture increases gravity""]","Water evaporating from the towel needs energy, and it takes that energy as heat from you. That’s why wind and dampness can feel “chillier” than air temperature suggests. It’s physics disguised as discomfort.",1
10396,Why do we not feel Earth spinning at high speed beneath our feet?,Everything around us moves with Earth at nearly constant speed so we mainly sense changes in motion,"[""Earth actually rotates too slowly to notice"",""Gravity cancels out the sensation of spinning"",""The atmosphere rotates in the opposite direction""]","At Earth's surface, you, the air, and the ground all rotate together at nearly constant velocity, which means there are no sudden accelerations for your inner ear's balance system to detect. Humans primarily perceive changes in velocity or direction, such as in a turning car or an elevator. Because we move with Earth in a stable reference frame, we don't sense the planet's rotation, even though we're traveling at over 1,000 km/h at the equator.",1
10397,What causes your voice to sound different when you hear a recording of yourself?,You normally hear your voice through bone conduction,"[""Microphones distort sound frequencies"",""Your ears filter your own voice"",""Recording devices compress audio""]","When you speak, vibrations travel through your skull bones to your inner ear, adding bass frequencies. Others hear only the sound waves through air. Recordings capture the 'air version'—that's why your voice sounds higher and thinner to you on playback!",0
10398,Which part of your body gets most of its oxygen directly from the air instead of from blood vessels?,The clear cornea at the front of the eye,"[""The eardrum"",""The tip of the nose"",""The fingernails""]","The cornea has no blood vessels, because even thin red lines would block vision. Instead, it absorbs oxygen from the air that dissolves into the tear film on its surface. That is one reason sleeping in contact lenses for too long can starve and damage it.",1
10400,Why does a tiny paper cut on your fingertip often hurt more than a much larger scrape elsewhere?,"Fingertips are packed with pain and touch receptors, and the cut stays open and exposed to air","[""Paper fibers release a special chemical irritant"",""Ink pigments react with nerves under the skin"",""The body overreacts to any injury involving hands""]","Hands have dense nerve endings for fine control, so damage there sends loud alarm signals to your brain. Paper cuts also do not bleed much, so the wound is not washed clean and keeps stinging at every contact.",1
10407,What causes leaves to change color in autumn?,Breakdown of chlorophyll revealing other pigments,"[""Cold temperature creating new pigments"",""Reduced water absorption"",""Increased sugar production""]","Shorter days and cooler weather cause chlorophyll to break down, revealing yellow and orange pigments already in the leaf. In some plants, red and purple anthocyanins are also produced in autumn.",1
10409,What phenomenon causes human eyes to reflect red in flash photos but many non-human mammals' eyes to reflect green?,Many non-human mammals have a reflective layer (tapetum lucidum) that humans lack,"[""Different blood vessel density"",""Pupil size differences"",""Different pigment types""]","Red-eye in humans comes from light reflecting off blood-rich retinal tissue. Many non-human mammals have a tapetum lucidum, a reflective layer behind the retina that improves night vision and can produce green/yellow eyeshine in flash photos.",0
10411,Why can't you tickle yourself effectively even if you try?,Your brain predicts your own movements and dampens the sensation,"[""Your skin becomes temporarily desensitized to self-touch"",""Tickling requires a tiny electric charge from another person"",""Your muscles block nerve signals when you move""]","Your brain predicts the sensory results of your own movements, which reduces the surprise that makes externally caused tickling feel intense.",0
10412,Which part of the eye adjusts pupil size to control how much light enters?,Iris,"[""Cornea"",""Retina"",""Lens""]","The iris contracts or expands to change pupil diameter, regulating the amount of light that reaches the retina.",0
10419,What causes stars to 'twinkle' in the night sky?,Atmospheric turbulence bending starlight,"[""Stars pulsating in brightness"",""Rotation causing light variation"",""Distance making light flicker""]","Stars don't actually twinkle—atmospheric turbulence bends light as it passes through air currents. This creates the twinkling effect. In space, stars shine steadily! Planets don't twinkle much because they're disks (not points) from our perspective. Astronomy tip: twinkling = star!",0
10422,Why does flipping your pillow to the cool side feel instantly refreshing even though the room temperature has not changed?,Temperature sensors in your skin respond most strongly to sudden changes,"[""The pillow fabric releases tiny bursts of menthol when flipped"",""The pillow compresses blood vessels and cools your head faster"",""Your body briefly increases blood flow to your face when you move""]","Many temperature receptors in your skin fire hardest when you go from warm to cool or cool to warm, then adapt to steady conditions. The unused side of the pillow has cooled toward room temperature, so touching it creates a sharp change. Your brain reads that quick drop as a wave of relief.",0
10425,"If you could somehow scoop up a teaspoon of neutron star material without it exploding, about how heavy would it be on Earth?",Roughly a billion tons—about a mountain's mass,"[""About as heavy as a car"",""A few kilograms—similar to a brick"",""Almost weightless because it's mostly empty space""]","Neutron stars cram more mass than the Sun into a city-sized sphere, so their density is mind-bending. A teaspoon would weigh like a mountain, showing how extreme physics gets when atoms collapse.",0
10426,Why do human babies have more bones than adults?,Some bones start separate and fuse together as they grow,"[""Extra bones dissolve once walking begins"",""Cartilage gradually transforms into hollow space"",""Bones split apart to make room for muscles""]","Babies start with more separate bone and cartilage elements, and many of them fuse together as the body grows.",1
10427,"When people listen to a favorite song, when does dopamine activity often start rising most noticeably?","Just before an expected musical peak or drop arrives, during anticipation","[""Only during the very first note of the song"",""Only if the listener is seeing the band live"",""Exactly at the end of the track when it resolves""]","As listeners become familiar with a song, the brain starts predicting when a hook, chorus, or beat drop will land. Dopamine activity can rise in anticipation before the moment arrives, which helps explain why musical buildup feels so powerful.",1
10428,What causes mountains to 'grow' over time?,Tectonic plate collision pushing crust upward,"[""Volcanic eruptions adding material"",""Sediment accumulation"",""Temperature expansion""]","Mountains form when tectonic plates collide, forcing crust upward. The Himalayas grow 5mm/year as India crashes into Asia! Erosion fights this growth—that's why old mountains (Appalachians) are shorter than young ones (Rockies).",0
10431,Can you hear sound in space?,"No, it's a vacuum","[""Yes, but very quiet"",""Yes, loud explosions only"",""Yes, but only near stars""]","Sound requires a medium (like air or water) to travel. Since space is a near-vacuum, sound waves cannot propagate.",0
10432,Why does ice cream often taste noticeably sweeter after you've been eating it for a minute compared with the first spoonful?,"As it warms and melts, your taste receptors and smell pick up more sweetness","[""Sugar sinks to the bottom of the container over time"",""Your tongue becomes more sensitive the longer you eat"",""Cold temperatures slowly create new sugar molecules""]","Cold temperatures numb your taste buds and suppress aroma at the very first bite. As the ice cream melts and warms in your mouth, more sugar and scent molecules reach your receptors, so it suddenly tastes sweeter.",0
10442,Why doesn't a candle flame usually cast a strong shadow?,Because the flame emits light and is not an opaque object,"[""Because fire is completely transparent to all light"",""Because shadows can only form in complete darkness"",""Because hot air absorbs all incoming light""]","A candle flame is itself a light source and is not opaque like a solid object, so it usually does not cast a strong shadow. Under some lighting conditions, the flame or the hot air around it can still create a faint visible effect.",0
10448,Why is it difficult to hum normally while holding your nose closed?,Because humming normally needs sound and airflow to pass through the nose while the mouth is closed,"[""Because your vocal cords stop vibrating when you block your nose"",""Because closing your nose blocks sound from leaving your mouth"",""Because the pressure instantly prevents you from making any voiced sound""]","When you hum, your vocal cords still vibrate, but your mouth is closed and the sound normally escapes through the nasal passages. Pinching your nose blocks that outlet, so pressure builds and the sound becomes muffled, weak, or stops instead of continuing as a normal hum.",0
10451,What color is liquid oxygen?,Pale blue,"[""Colorless"",""Green"",""Red""]","While oxygen gas is colorless, when cooled to -183°C (-297°F) and turned into a liquid, it becomes a distinct pale blue color due to the absorption of red light by its molecular bonds.",0
10456,Can you start a fire using ice?,"Yes, by shaping it into a lens","[""No, ice always melts fire"",""Only if the ice is mixed with gasoline"",""Yes, by striking it against steel""]","If you shape a piece of clear ice into a convex lens (like a magnifying glass), it can focus sunlight onto a specific point. This concentrated energy can generate enough heat to ignite tinder.",0
10458,"The Brooklyn Bridge construction was plagued by 'Caisson Disease', a dangerous condition now known as what?",The Bends (Decompression Sickness),"[""Lead Poisoning"",""Cholera"",""Vertigo""]",Workers dug the foundations in pressurized underwater chambers. Coming up too fast caused nitrogen bubbles to form in their blood. Even the Chief Engineer was paralyzed by it.,0
10459,Do human beings emit light?,"Yes, but it's too faint for our eyes to see","[""No, only fireflies do"",""Only when pregnant"",""Only after radiation exposure""]",Human bodies emit extremely faint visible light as a byproduct of normal metabolic processes. This light is far too weak to be seen by the naked eye.,1
10473,"The Pororoca in the Amazon is a famous tidal bore, where a wave or series of waves does what?",Rolls up the river,"[""Freezes instantly"",""Disappears underground"",""Turns red""]","During certain high tides, ocean water pushes upriver against the river's current, creating a tidal bore. The Pororoca can appear as a powerful wave or sequence of waves traveling inland.",0
10480,Why can hail fall during summer thunderstorms when it's hot outside?,Storm clouds are freezing cold up high,"[""Lightning freezes the raindrops"",""Cold air pockets near the ground"",""Rapid pressure changes create ice""]","Thunderstorm clouds reach heights where it's below freezing. Strong updrafts keep ice pellets bouncing up and down, adding layers until they're heavy enough to fall.",0
10485,"In 1963, a volcanic eruption off the coast of Iceland created a brand new island that scientists have studied ever since. What is it named?",Surtsey,"[""Atlantis"",""Vinland"",""New Iceland""]",Surtsey is a pristine laboratory for scientists to observe how life colonizes new land from scratch. Human access is strictly restricted.,0
10487,The Alnwick Garden in England has a locked section where visitors are warned not to smell or touch the plants. Why?,The plants are dangerous or toxic,"[""The plants are extremely rare"",""The plants are part of a royal collection"",""The plants attract aggressive insects""]","The Poison Garden contains many toxic, intoxicating, or narcotic plants, so visitors are kept at a safe distance and told not to touch or smell them.",0
10488,"On a very cold night, if you see two bright spots flanking the moon, you are looking at what phenomenon?",Moon dogs,"[""Star clusters"",""Satellite flares"",""UFO landing lights""]","Moon dogs, or paraselenae, are caused by moonlight refracting through ice crystals in the atmosphere. They appear as bright patches of light to the left and right of the moon.",0
10492,"On very cold calm days in the Arctic, the sea can look like it is steaming or boiling. What is this effect called?",Arctic sea smoke,"[""Diamond dust"",""Whiteout"",""Ice blink""]","Arctic sea smoke, also called frost smoke, forms when very cold air passes over relatively warmer open water. Water vapor quickly condenses into low drifting plumes above the surface.",0
10493,"Australia's Lake Hillier is famous for its permanent, bubblegum-pink color. What causes this vibrant hue?",Salt-loving algae and microbes,"[""Strawberry syrup pollution"",""Red clay sediment"",""Refraction of sunlight""]","The pink color is linked to salt-loving algae such as Dunaliella salina and other halophilic microbes, which produce reddish pigments in the salty lake environment.",0
10494,"If you bend a paperclip made of Nitinol wire, what happens when you dip it into hot water?",It snaps back to its original shape,"[""It melts instantly"",""It changes color"",""It becomes magnetic""]",Nitinol is a 'shape memory alloy'. Heat triggers a crystal structure change that forces the metal to return to the exact shape it was 'trained' to remember.,0
10499,"Before Jenner's cowpox vaccine, people used a risky method called variolation to protect against smallpox. What did it involve?",Putting smallpox scab or pus material into the skin,"[""Drinking a weakened smallpox serum"",""Sleeping beside a recovered patient"",""Rubbing cowpox milk onto the skin""]","Variolation used material from a smallpox sore or scab, often inserted through a scratch or blown into the nose. The goal was to cause a milder infection that could protect against future smallpox.",0
10500,"The sharp, metallic scent you often smell after a lightning strike or from a static spark is actually the smell of what gas?",Ozone,"[""Sulfur"",""Nitrogen"",""Methane""]","Electrical discharges split oxygen molecules (O2) into individual atoms, which reform into ozone (O3), creating that distinct clean smell.",0
10503,Feeling tired isn't just about running out of energy. It is also caused by the buildup of a chemical called 'adenosine' in your brain. What does caffeine do to this chemical?,Blocks its receptors,"[""Destroys it completely"",""Converts it to sugar"",""Flushes it out of the body""]","Caffeine molecules look like adenosine, so they fit into the brain's receptors. This blocks the real adenosine from signaling that you are tired, keeping you alert.",0
10506,"In the 1840s, a major medical breakthrough allowed doctors to perform surgeries without patients screaming in agony. What was this discovery?",Anesthesia,"[""Antibiotics"",""X-rays"",""Antiseptics""]","The introduction of ether and chloroform meant patients could be rendered unconscious and insensible to pain during operations, revolutionizing surgery.",0
10509,"When lightning strikes sand at a beach or desert, it can instantly melt the sand into a natural glass structure. What are these rare formations called?",Fulgurites,"[""Sand crystals"",""Lightning stones"",""Thunder glass""]","Fulgurites form when lightning's extreme heat (up to 30,000°C) melts sand into hollow glass tubes. They're also called 'petrified lightning' and can extend several feet underground.",0
10521,What do scientists use 'optical tweezers' made of focused laser beams to trap and move?,Microscopic particles,"[""Small insects"",""Metal bearings"",""Drops of water""]","Optical tweezers use forces from a highly focused laser beam to trap and manipulate microscopic objects such as cells, bacteria, viruses, or tiny particles without physical contact.",0
10522,"Teflon, the non-stick coating, was discovered by accident. What was the scientist trying to find?",A new refrigerant gas,"[""A glue"",""A plastic explosive"",""A hair spray""]",Roy Plunkett was experimenting with gases for refrigerators when one sample unexpectedly froze into a slippery white solid.,0
10523,"Superhydrophobic coatings are so effective at repelling water that if you pour water on a treated surface, what do the droplets do?",Roll off in perfect spheres,"[""Stick like glue"",""Evaporate instantly"",""Turn into ice""]","The surface structure is so rough on a microscopic level that water can't touch it. It stays a perfect sphere and rolls off, picking up all dirt with it.",0
10528,"The physics of freezing a Popsicle is deceptively simple. If you freeze the sugary mix too slowly, it develops large ice crystals that ruin the texture, making it feel like what?",Crunchy ice,"[""Smooth cream"",""Hot jelly"",""Dry sand""]","Commercial popsicles are flash-frozen. Slow freezing separates the water from the syrup, creating jagged ice shards instead of a smooth, consistent treat.",0
10537,"What unusual physical trait made a Kentucky family famous, caused by an inherited blood disorder that affected oxygen transport?",Blue-tinted skin,"[""Extremely pale complexion"",""Purple-veined hands"",""White patches on the skin""]","The Fugates of Kentucky carried a form of inherited methemoglobinemia, which can reduce normal oxygen transport in blood. That condition gave some members a blue appearance.",0
10540,"When high-voltage electricity is discharged through acrylic, what dramatic pattern can be trapped inside?",Branching lightning-like trees,"[""Spiral galaxies"",""Circular ripples"",""Straight lines""]","Lichtenberg figures form when high-voltage electrical discharge creates branching channels inside insulating acrylic, leaving a permanent lightning-like pattern.",1
10542,"Circadian rhythms are regulated by the Suprachiasmatic Nucleus, a tiny region in the brain. What massive external signal resets it daily?","Light, especially sunlight","[""Temperature"",""Sound"",""Hunger""]","Light is the main environmental cue that resets the body's internal clock. Cells in the eyes are especially sensitive to blue wavelengths, which is one reason bright screens and late-night light exposure can affect sleep timing.",0
10543,"At New York's Eternal Flame Falls, a small fire burns behind a waterfall. What naturally occurring fuel keeps this flame alive?",Natural gas,"[""Volcanic lava"",""Burning coal"",""Geothermal steam""]","A natural gas seep emits methane through cracks in the rock, which can be lit to produce a flame that is visible behind the falling water.",0
10545,"Which plant is the fastest growing on Earth, capable of shooting up nearly 3 feet in a single day?",Bamboo,"[""Sunflower"",""Oak Tree"",""Ivy""]","Bamboo is technically a giant grass. Its rapid growth makes it an incredibly sustainable resource for building, fabric, and food.",0
10547,Revolving doors were invented in 1888 and are now common in office buildings. What energy-saving benefit do they provide?,They prevent air from escaping,"[""They generate electricity when spinning"",""They block sunlight from entering"",""They filter outdoor pollution""]","A revolving door acts like an airlock, limiting drafts and keeping conditioned indoor air from escaping. This can lower heating or cooling energy use, though the exact savings depend on the building and usage.",0
10548,"Before modern vaccines, thousands of Polio patients had to live inside a large metal cylinder known as an ""Iron Lung."" What did this machine do for them?",It breathed for them,"[""It filtered their blood"",""It kept them warm"",""It digested their food""]","The Iron Lung used negative pressure to force the patient's chest to expand and contract, allowing them to breathe when their muscles were paralyzed by the Polio virus.",0
10550,"Our ancestors needed wisdom teeth to chew tough, raw foods like roots and meat. Why do modern humans often need them removed?",Our jaws have become smaller,"[""They have shallower roots than other teeth"",""Modern food is too soft"",""They grow faster than other teeth""]","As humans evolved and cooked food, our jaws gradually became smaller, but we still grow the same number of teeth. This leaves insufficient room for wisdom teeth.",0
10553,Garlic breath is so persistent because a specific sulfur compound is absorbed into your blood and released through which organ?,Lungs,"[""Stomach"",""Liver"",""Kidneys""]","After digestion, the sulfur compounds in garlic enter your bloodstream and circulate to your lungs. This means you are literally exhaling the smell until the compounds are eliminated.",1
10556,One reason the Manchineel tree is called one of the world's most dangerous trees is that standing under it during rain can cause what?,Skin blisters,"[""Instant sleep"",""Hallucinations"",""Hair loss""]",The sap is incredibly caustic. Rainwater dripping off the leaves picks up the toxins and can burn the skin of anyone seeking shelter underneath.,0
10566,"In the late 1950s, thalidomide was given to some pregnant women for morning sickness. Why was it withdrawn from that use?",It caused severe birth defects,"[""It caused hallucinations"",""It was too addictive"",""It caused heart attacks""]","Thalidomide was linked to severe birth defects, especially limb malformations, when taken during pregnancy. It later returned for some tightly controlled medical uses, but not as a pregnancy nausea drug.",0
10567,"The Dragon's Blood Tree of Socotra is famous for its umbrella shape and its sap, which oozes out as a liquid of what color?",Blood red,"[""Glowing blue"",""Pitch black"",""Neon green""]","The red sap has been prized for centuries as a dye, medicine, and varnish. The tree's unique shape helps it survive in arid conditions by shading its roots and funneling rain down its trunk.",0
10572,"Under the right conditions, if you looked at a rainbow from a high-flying airplane, what shape might you see instead of the usual arch?",A full circle,"[""A double arch"",""A flattened oval"",""A vertical band""]","Rainbows are actually circular, centered opposite the Sun. From the ground, the lower part is usually blocked, but from the air it is sometimes possible to see the full circle.",1
10573,"We often think our 'biological clock' is exactly 24 hours. However, without sunlight to reset it, experiments show that the natural human day is actually slightly what?",Longer,"[""Shorter"",""Irregular"",""Unpredictable""]","In isolation experiments (like caves), humans naturally drift toward a cycle of about 24 hours and 10–15 minutes.",1
10574,Aerogel can be more than 99% air and is an excellent insulator. What can happen to the other side when one side is heated?,It can stay cool enough to touch,"[""It instantly catches fire"",""It turns into liquid"",""It becomes strongly magnetic""]","Aerogels are among the lightest solid materials and can be excellent thermal insulators because their porous structure slows heat transfer. Exact properties vary by type, but some aerogels can block heat well enough for dramatic insulation demonstrations.",0
10584,People think Venus Flytraps eat flies for food (calories). What do they actually need from the insects that they can't get enough of from the soil?,Mineral nutrients like nitrogen and phosphorus,"[""Sugar/Carbohydrates"",""Water"",""Fiber""]","They still photosynthesize for energy, making their own sugar from light. Insects mainly supply mineral nutrients, especially nitrogen and phosphorus, that are scarce in their boggy soil.",1
10585,'Hurricane Hunters' fly directly into tropical cyclones to gather data. They release a tube-shaped instrument attached to a parachute to measure pressure and wind. What is this device called?,A dropsonde,"[""A weather balloon"",""A wind kite"",""A pressure dart""]","As the dropsonde falls through the storm to the ocean surface, it transmits vital data back to the aircraft to help predict the hurricane's path.",0
10588,An “echo” sounds simple—sound bounces back—but real rooms behave in surprisingly complicated ways. What everyday thing makes a room much less echo-y without changing the walls?,Soft furniture,"[""Brighter light bulbs"",""A colder thermostat"",""A higher ceiling fan speed""]",Soft materials soak up sound instead of reflecting it. That reduces repeated bounces that create echo. The room’s “sound feel” can change a lot without any construction.,1
10591,Why can unnecessary heavy disinfecting of low-risk surfaces be unhelpful?,It can remove helpful microbes too,"[""It creates more dust"",""It makes air colder"",""It makes food salty""]","Many surfaces and human environments contain harmless microbes, and some microbes can be beneficial. Over-cleaning can reduce this healthy mix. Balance matters more than total removal.",0
10593,"At Cumberland Falls in Kentucky, you can see a rare phenomenon where the light of the full moon creates a what?",Moonbow,"[""Shadow puppet"",""Solar eclipse"",""Laser show""]","A moonbow, or lunar rainbow, is produced by light from the moon refracting through water droplets in the air, usually near waterfalls.",0
10597,"When you overcook an egg, the yolk sometimes turns greenish-gray. This happens because sulfur from the egg white reacts with what metal in the yolk?",Iron,"[""Copper"",""Zinc"",""Calcium""]","The green ring forms when hydrogen sulfide from the egg white combines with iron in the yolk, creating iron sulfide. Egg yolks naturally contain iron as part of their nutritional content. This is harmless but indicates overcooking. Cooling eggs quickly after boiling prevents this reaction.",0
10608,Scientists can study perfectly preserved ancient insects because they were trapped millions of years ago in what sticky substance?,Tree resin,"[""Volcanic ash"",""Glacial ice"",""Mud""]","When this sticky sap fossilizes, it becomes amber. It dehydrates the trapped specimen, protecting it from bacteria and decomposition for millions of years.",0
10617,Why do cacti have spines instead of leaves?,To reduce water loss,"[""To perform photosynthesis"",""To signal other cacti"",""To store nutrients""]",Leaves lose water through evaporation. Cacti evolved spines to minimize surface area and prevent water loss in deserts. The thick stem does the photosynthesis instead.,0
10618,"Many people experience vivid visions or sounds just as they're falling asleep, even though they're not dreaming yet. What is this common phenomenon called?",Hypnagogic hallucinations,"[""Sleep paralysis"",""Lucid dreaming"",""Night terrors""]","These sensory experiences occur during the transition from wakefulness to sleep (the hypnagogic period). They can include visual, auditory, or tactile sensations and are generally normal.",0
10620,Rogue planets are worlds that drift through space without being attached to what?,Any star,"[""Any moon"",""Any asteroid belt"",""Any nebula""]","Rogue planets were either ejected from their solar systems or formed independently in space. They wander through the darkness of interstellar space, not orbiting any star, making them nearly impossible to detect.",0
10626,"While most trees drop their leaves to survive winter, pine trees keep their needles. What covers their needles to prevent them from drying out in the cold?",A waxy coating,"[""A layer of fur"",""A sugar glaze"",""Tiny heat cells""]","Pine needles have a thick, waxy skin called a cuticle that locks in moisture. This allows them to withstand freezing temperatures without losing the water they need to survive.",1
10628,How long does it take sunlight to reach Earth?,About 8 minutes,"[""About 1 minute"",""About 30 minutes"",""About 1 hour""]","The Sun is about 150 million kilometers from Earth, and light travels at 300,000 km/s, so sunlight takes about 8 minutes and 20 seconds to reach us. This means we see the Sun as it was 8 minutes ago.",0
10632,"In the early 1900s, Mary Mallon became famous for spreading a deadly disease to dozens of people while remaining perfectly healthy herself. What was her profession?",A cook,"[""A nurse"",""A teacher"",""A maid""]","Mary Mallon, known as ""Typhoid Mary,"" was an asymptomatic carrier of typhoid fever. As a cook, she unknowingly transmitted the bacteria through the food she prepared.",0
10636,Why is balancing harder when you close your eyes?,You lose visual cues that steady you,"[""Your feet go numb"",""Your muscles stop working"",""Air pressure changes""]","Balance is a 'team effort' between your eyes, inner ears, and body sensors (proprioception). Closing your eyes removes the visual reference, forcing the other systems to work harder to keep you upright.",1
10651,"When people talk in their sleep, what do they typically remember about it the next morning?",Almost nothing,"[""Every word they said"",""Only the emotional tone"",""Only the last sentence""]","Sleep talkers almost never remember their nighttime conversations because the brain areas responsible for forming memories are largely inactive during sleep. Even if woken immediately after, they usually can't recall what they said.",0
10655,Blood Falls in Antarctica gets its gruesome name because the water flowing from the glacier is bright red due to what?,Rusted iron in the water,"[""Red algae blooms"",""Penguin blood"",""Volcanic lava""]","The water comes from a subglacial lake trapped for millions of years. When the iron-rich water hits the air, it instantly rusts, turning blood red.",0
10662,"Why is soap so effective at destroying viruses with an outer envelope, like influenza and coronaviruses?",It tears apart their outer shell,"[""It poisons them"",""It suffocates them"",""It burns them""]","Many dangerous viruses — including influenza and coronaviruses — are surrounded by a fatty lipid membrane. Soap dissolves this fat, causing the virus to fall apart. This is why handwashing is one of the most effective defenses against viral illness.",1
10664,Strawberry plants can rapidly colonize new ground without waiting to grow from seed. What do they send out to create identical copies of themselves nearby?,Runners,"[""Spores"",""Underground bulbs"",""Seed pods""]","Strawberry plants send out long horizontal stems called runners (stolons) that touch the ground and sprout new plants. One plant can quickly spread across a large area this way—no seeds, no pollination needed.",1
10665,Climbing plants like ivy and morning glories twist and reach upward even though they could survive on the ground. What evolutionary advantage drives plants to climb?,Reaching sunlight without investing energy in a thick trunk,"[""Escaping ground-dwelling insects and diseases"",""Accessing moisture in the air above ground"",""Spreading seeds over a wider area""]","Climbing is an energy-efficient strategy—plants can reach the sunlit canopy by using other structures for support instead of building their own sturdy trunk. This allows them to invest more resources in leaves, flowers, and reproduction.",1
10671,"Pottery glaze turns into a hard, shiny coating when fired. Chemically, this coating is essentially a layer of what material?",Glass,"[""Plastic"",""Metal"",""Resin""]","Glazes contain silica, the main ingredient in glass. The high heat melts the silica, which fuses to the clay and cools into a glass layer.",1
10673,Why do some mountain ranges slowly rise after heavy ice melts?,The land rebounds when weight is removed,"[""Water turns to rock"",""Trees lift the ground"",""Winds pile soil higher""]","Thick ice pushes the land down. When it melts, the land slowly springs back. This rebound can raise mountains slightly.",0
10676,"During extreme cold snaps, what can rapidly freezing underground water cause as it expands with such force?",Loud booming noises,"[""Hot springs"",""Sinkholes"",""Geysers""]","Cryoseisms, or 'frost quakes', occur when saturated soil freezes and expands quickly, cracking the ground and creating loud boom sounds.",0
